Description,RMSE training,RMSE test,R-squared training,R-squared test,Adjusted R-squared training,Adjusted R-squared test,Average R-squared 10-Fold Cross Validation,Standard deviation of average R-squared Cross Validation
multilinear,0.181,0.180,0.882,0.882,0.882,0.882,0.881,0.004
multilinear-log,0.182,0.181,0.881,0.881,0.881,0.881,0.880,0.006
multilinear-log-minmax,0.181,0.180,0.882,0.882,0.882,0.882,0.881,0.005
multilinear-log-robscal,0.181,0.180,0.882,0.882,0.882,0.882,0.881,0.005
multilinear-log-std,0.181,0.180,0.882,0.882,0.882,0.882,0.881,0.005
multilinear_6cat,0.182,0.181,0.880,0.880,0.880,0.880,0.879,0.004
multilinear_6cat-log,0.180,0.179,0.884,0.884,0.884,0.884,0.883,0.005
multilinear_6cat-log-minmax,0.180,0.179,0.884,0.884,0.884,0.884,0.883,0.005
multilinear_6cat-log-robscal,0.180,0.179,0.884,0.884,0.884,0.884,0.883,0.005
multilinear_6cat-log-std,0.180,0.179,0.884,0.884,0.884,0.884,0.883,0.005
multilinear_mul,0.180,0.179,0.883,0.882,0.883,0.882,0.882,0.004
multilinear_mul-log,0.183,0.182,0.880,0.880,0.880,0.880,0.878,0.005
multilinear_mul-log-minmax,0.183,0.182,0.880,0.880,0.880,0.880,0.878,0.005
multilinear_mul-log-robscal,0.183,0.182,0.880,0.880,0.880,0.880,0.878,0.005
multilinear_mul-log-std,0.183,0.182,0.880,0.880,0.880,0.880,0.878,0.005
multilinear_6cat_mul,0.182,0.181,0.880,0.880,0.880,0.880,0.879,0.004
multilinear_6cat_mul-log,0.181,0.180,0.882,0.881,0.882,0.881,0.880,0.005
multilinear_6cat_mul-log-minamx,0.181,0.180,0.882,0.881,0.882,0.881,0.880,0.005
multilinear_6cat_mul-log-robscal,0.181,0.180,0.882,0.881,0.882,0.881,0.880,0.005
multilinear_6cat_mul-log-std,0.181,0.180,0.882,0.881,0.882,0.881,0.880,0.005
multilinear_mul_vif,0.356,0.360,0.543,0.526,0.543,0.526,0.541,0.009
multilinear_mul_vif-log,0.237,0.238,0.798,0.793,0.798,0.793,0.797,0.005
multilinear_mul_vif-log-minmax,0.237,0.238,0.798,0.793,0.798,0.793,0.797,0.005
multilinear_mul_vif-log-robscal,0.237,0.238,0.798,0.793,0.798,0.793,0.797,0.005
multilinear_mul_vif-log-std,0.237,0.238,0.798,0.793,0.798,0.793,0.797,0.005
multilinear_6_cat_mul_vif,0.380,0.386,0.481,0.457,0.481,0.457,0.479,0.008
multilinear_6_cat_mul_vif-log,0.237,0.238,0.798,0.793,0.798,0.793,0.797,0.005
multi-log-minmax,0.237,0.238,0.798,0.793,0.798,0.793,0.797,0.005
multilinear_6_cat_mul_vif-log-robscal,0.237,0.238,0.798,0.793,0.798,0.793,0.797,0.005
multilinear_6_cat_mul_vif-log-std,0.237,0.238,0.798,0.793,0.798,0.793,0.797,0.005
multilinear_noout,0.169,0.174,0.865,0.853,0.865,0.853,0.863,0.005
multilinear_noout-log,0.167,0.174,0.868,0.853,0.868,0.853,0.866,0.006
multilinear_noout-log-minmax,0.167,0.174,0.868,0.853,0.868,0.853,0.866,0.006
multilinear_noout-log-robscal,0.167,0.174,0.868,0.853,0.868,0.853,0.866,0.006
multilinear_noout-log-std,0.167,0.174,0.868,0.853,0.868,0.853,0.866,0.006
multilinear_6cat_noout,0.170,0.174,0.864,0.852,0.864,0.852,0.862,0.006
multilinear_6cat_noout-log,0.167,0.174,0.868,0.853,0.868,0.853,0.867,0.007
multilinear_6cat_noout-log-minamax,0.167,0.174,0.868,0.853,0.868,0.853,0.867,0.007
multilinear_6cat_noout-log-robscal,0.167,0.174,0.868,0.853,0.868,0.853,0.867,0.007
multilinear_6cat_noout-log-std,0.167,0.174,0.868,0.853,0.868,0.853,0.867,0.007
multilinear_mul_noout,0.169,0.173,0.866,0.853,0.866,0.853,0.864,0.005
multilinear_mul_noout-log,0.169,0.176,0.865,0.848,0.865,0.848,0.863,0.007
multilinear_mul_noout-log-minmax,0.169,0.176,0.865,0.848,0.865,0.848,0.863,0.007
multilinear_mul_noout-log-robscal,0.169,0.176,0.865,0.848,0.865,0.848,0.863,0.007
multilinear_mul_noout-log-std,0.169,0.176,0.865,0.848,0.865,0.848,0.863,0.007
multilinear_6cat_mul_noout,0.170,0.174,0.864,0.852,0.864,0.852,0.863,0.006
multilinear_6cat_mul_noout-log,0.168,0.176,0.867,0.849,0.867,0.849,0.865,0.007
multilinear_6cat_mul_noout-log-minmax,0.168,0.176,0.867,0.849,0.867,0.849,0.865,0.007
multilinear_6cat_mul_noout-log-robscal,0.168,0.176,0.867,0.849,0.867,0.849,0.865,0.007
multilinear_6cat_mul_noout-log-std,0.168,0.176,0.867,0.849,0.867,0.849,0.865,0.007
multilinear_mul_noout_vif,0.324,0.316,0.503,0.512,0.503,0.512,0.501,0.013
multilinear_mul_noout_vif-log,0.235,0.233,0.739,0.736,0.739,0.736,0.737,0.011
multilinear_out_mul_vif-log-minmax,0.235,0.233,0.739,0.736,0.739,0.736,0.737,0.011
multilinear_out_mul_vif-log-robscal,0.235,0.233,0.739,0.736,0.739,0.736,0.737,0.011
multilinear_noout_mul_vif-log-std,0.235,0.233,0.739,0.736,0.739,0.736,0.737,0.011
multilinear_6cat_noout_mul_vif,0.346,0.340,0.435,0.435,0.435,0.435,0.433,0.015
multilinear_6cat_noout_mul_vif-log,0.236,0.234,0.737,0.732,0.737,0.732,0.736,0.012
multilinear_6cat_noout_mul_vif-log-minmax,0.236,0.234,0.737,0.732,0.737,0.732,0.736,0.012
multilinear_6cat_noout_mul_vif-log-robscal,0.236,0.234,0.737,0.732,0.737,0.732,0.736,0.012
multilinear_6cat_noout_mul_vif-log-std,0.236,0.234,0.737,0.732,0.737,0.732,0.736,0.012
